Array Size,Threads,Serial Time,Parallel Time,Speedup
1000000,1,0.111154,0.112899,.98454370720732690280
1000000,2,0.111154,0.071773,1.54868822537723099215
1000000,4,0.111154,0.054034,2.05711218862197875411
1000000,8,0.111154,0.037142,2.99267675407894028323
5000000,1,0.609623,0.612070,.99600209126407110297
5000000,2,0.609623,0.357458,1.70543952016740428246
5000000,4,0.609623,0.244126,2.49716539819601353399
5000000,8,0.609623,0.167380,3.64214959971322738678
10000000,1,1.298583,1.290732,1.00608259499260884521
10000000,2,1.298583,0.963093,1.34834642137363681389
10000000,4,1.298583,0.806611,1.60992473447547826647
10000000,8,1.298583,0.358120,3.62611135932089802300
50000000,1,6.885383,6.900582,.99779743215862082357
50000000,2,6.885383,3.678071,1.87200926790157123122
50000000,4,6.885383,2.260523,3.04592477050664824025
50000000,8,6.885383,1.506419,4.57069580242947015405
